utter,intent
ආපහු කරලා බලන්න,4
ආයෙත් පාරක්  ට්‍රයි කිරීමට ඕන,4
නෑ,5
නැත,5
නැහැ,5
නෑ ඕන නෑ,5
ඇති,5
නැහැ ඕන නෑ,5
ආයෙත් උත්සහ කරන්න ඕන නැහැ,5
උත්සහ කරන්න ඕන නැහැ,5
ආයිත් ට්‍රයි කරන්න ඕන නැත,5
ට්‍රයි කරන්න ඕන නැත,5
නැවත උත්සහ කරන්න අවශ්‍ය නැත,5
තව දුරටත් ඉස්සරහට යන්න ඕන නෑ,5
තව ට්‍රයි එකක් ඕන නැත,5
නැවත උත්සහ කිරීමට අනවශ්‍යයි,5
නැවත උත්සහ කරන්න එපා,5
ආයිත් කරන්න ඕන නැත,5
හරි,6
තොරතුරු හරි,6
තොරතුරු නිවැරදියි,6
ඒක හරි,6
ඔව් ඔක්කොම නිවැරදියි,6
ඔක්කොම නිවැරදියි,6
ඔව් නිවැරදියි,6
නිවැරදියි,6
ඔක්කොම හරි ,6
ඉහත තොරතුරු නිවැරදියි,6
ඉහත තොරතුරු හරි ,6
ඔව් හරි,6
මගේ ඩීටේයිල්ස් හරි,6
ඩීටේයිල්ස් හරි,6
මේ ඩීටේයිල්ස් හරි,6
විස්තර ඕකේ,6
මේ ඉන්ෆොමේෂන් හරි,6
තොරතුරු වැරදියි,7
වැරදියි,7
නෑ වැරදියි,7
නෑ,7
ඔව් වැරදියි,7
ඒ තොරතුරු වැරදියි,7
මේ තොරතුරු වැරදි කියල සනාථ කරනවා,7
වැරදි කියල සනාථ කරනවා,7
තොරතුරු වැරදි බව සනාථ කරන්න ඕන,7
වැරදි බව සනාථ කරන්න ඕන,7
ඔය තොරතුරු වැරදියි,7
මේ විස්තර වැරදියි,7
ඩීටේයිල්ස් වල වැරැද්දක් තියනවා,7
ඕක වැරදියි,7
වැරැද්දක් තියනවා,7
තොරතුරු වල වැරැද්දක් තියනවා,7
වැරදි තොරතුරු,7
ඔව් විවෘත කරන්න,8
විවෘත කරන්න,8
ඔව්,8
ඔව් ගිණුම විවෘත කරන්න,8
ගිණුම විවෘත කරන්න,8
තහවුරු කරනවා,8
ඔව් තහවුරු කරනවා,8
ගිණුම විවෘත කිරීම තහවුරු කරනවා,8
ඔව් ගිණුම විවෘත කිරීම තහවුරු කරනවා,8
ගිණුම විවෘත කරන්න ඕන,8
තහවුරු කරන්න ඕන,8
ඔව් ගිණුම විවෘත කිරීම කරන්න ඕන,8
තහවුරු කරන්න ඕන,8
කරගෙන යන්න,9
කාර්ය නතර කරන්න,9
නතර කරන්න,9
නවත්තන්න,9
ගිණුම විවෘත කිරීම නතර කරන්න,9
ගිණුම විවෘත කිරීම නවත්තන්න,9
දැන් මේ වැඩේ නතර කරන්න ඕන,9
වැඩේ නතර කරන්න ඕන,9
මට නවත්තන්න ඕන,9
නවත්තන්න ඕන,9
ඇති,9
වැඩේ නවත්තනවා,9
මට මේක නවතලා දාන්න ඕන,9
නවතලා දාන්න,9
කල් පිරීමේදී ලබා ගන්නවා,10
පොළිය කල් පිරීමේදී ලබා ගන්නවා,10
කල් පිරුනම ගන්නවා ,10
කල් පිරීමේදී ලබාගන්න ඕන ,10
කල් පිරීමේදී,10
පොළිය කල් පිරීමේදී ගන්නවා,10
කල් පිරුනම ලබා ගන්නවා,10
කල් පිරුනම,10
කල් පිරීමේදී ගන්නවා,10
කල් පිරීමේදී ලබාගන්න ඕන,10
කල් පිරුනම  ලබාගන්න ඕන,10
මාසිකව ලබා ගන්නවා,11
පොළිය මාසිකව ලබා ගන්නවා,11
මාසිකව ලබාගන්න ඕන,11
මාසිකව ගන්නවා,11
මාසිකව,11
පොළිය මාසිකව ලබාගන්න ඕන,11
මාසිකව පොළිය ගන්නවා,11
